NAME,LOCATION,TYPE,LAT,LON,website,picture
Hang_Gliding,Kasauli,Adventure-Sport,30.89168,76.971343,https://en.wikipedia.org/wiki/Kasauli,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Hang_gliding_hyner.jpg/330px-Hang_gliding_hyner.jpg
Trekking,Ladakh,Adventure-Sport,34.17658,77.578748,https://en.wikipedia.org/wiki/Ladakh,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Ladakh_Highway.jpg/375px-Ladakh_Highway.jpg
Ice_Climbing,Gulmarg,Adventure-Sport,34.048375,74.380441,https://en.wikipedia.org/wiki/Gulmarg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Gulmarg_Gondola%2C_Cable_Car.JPG/330px-Gulmarg_Gondola%2C_Cable_Car.JPG
Scuba_Diving,Andamans,Adventure-Sport,12.035751,92.987821,https://en.wikipedia.org/wiki/Andaman_and_Nicobar_Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Floaters_%40_Andaman.jpg/206px-Floaters_%40_Andaman.jpg
Sky_Diving, Mysore,Adventure-Sport,12.227873,76.658066,https://en.wikipedia.org/wiki/Mysore,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/VIEW_OF_MYSURU_FROM_CHAMUNDI_HILLS.jpg/330px-VIEW_OF_MYSURU_FROM_CHAMUNDI_HILLS.jpg
Bungee_Jumping,Rishikesh,Adventure-Sport,30.060015,78.226589,https://en.wikipedia.org/wiki/Rishikesh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Rishikesh_haRishikeshridwar_%28577%29.JPG/224px-Rishikesh_haRishikeshridwar_%28577%29.JPG
Water_Sports,Goa,Adventure-Sport,15.584279,73.757867,https://en.wikipedia.org/wiki/Goa,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Goa_beautiful_beach.JPG/420px-Goa_beautiful_beach.JPG
Hot_Air_Balooning,Pushkar,Adventure-Sport,26.493908,74.522654,https://en.wikipedia.org/wiki/Pushkar_Fair,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Hot_Air_Balloon_Ride_by_Sky_Waltz.jpg/216px-Hot_Air_Balloon_Ride_by_Sky_Waltz.jpg
National_Museum,Delhi,Museum,28.61225,77.219328,"https://en.wikipedia.org/wiki/National_Museum,_New_Delhi",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/National_Museum_New_Delhi.jpg/300px-National_Museum_New_Delhi.jpg
Indian_Museum,Kolkata,Museum,22.557859,88.351133,"https://en.wikipedia.org/wiki/Indian_Museum,_Kolkata",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Indian_Museum%2C_Courtyard%2C_Kolkata%2C_India.jpg/375px-Indian_Museum%2C_Courtyard%2C_Kolkata%2C_India.jpg
Madras_Government_Museum,Chennai,Museum,13.071607,80.256749,"https://en.wikipedia.org/wiki/Government_Museum,_Chennai",https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Madras_museum_theatre_in_October_2007.jpg/375px-Madras_museum_theatre_in_October_2007.jpg
Chhatrapati_Shivaji_Vastu_Museum,Mumbai,Museum,18.926758,72.832821,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya.jpg/330px-Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya.jpg
Shakars_International_Doll_Museum,Delhi,Museum,28.630532,77.241509,https://en.wikipedia.org/wiki/Shankar%27s_International_Dolls_Museum,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/ShankarsInternationalDollsMuseum.jpg/330px-ShankarsInternationalDollsMuseum.jpg
Salar_Jung_Museum,Hyderabad,Museum,17.371658,78.480254,https://en.wikipedia.org/wiki/Salar_Jung_Museum,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Salar_Jung_Museum%2C_Hyderabad%2C_India.jpg/330px-Salar_Jung_Museum%2C_Hyderabad%2C_India.jpg
National_Rail_Museum,Delhi,Museum,28.585909,77.179899,"https://en.wikipedia.org/wiki/National_Rail_Museum,_New_Delhi",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/National-Rail-Museum-Entr%C3%A9e.JPG/405px-National-Rail-Museum-Entr%C3%A9e.JPG
Calico_Museum,Ahmedabad,Museum,23.054257,72.592252,https://en.wikipedia.org/wiki/Calico_Museum_of_Textiles,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Calico_Museum_of_Textiles%2C_Ahmedabad%2C_1952.jpg/330px-Calico_Museum_of_Textiles%2C_Ahmedabad%2C_1952.jpg
Dr.Bhau_Daji_Lad_Museum,Mumbai,Museum,18.978964,72.834723,https://en.wikipedia.org/wiki/Dr._Bhau_Daji_Lad_Museum,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Dr._Bhau_Daji_Lad_Museum%2C_esterno_01.jpg/375px-Dr._Bhau_Daji_Lad_Museum%2C_esterno_01.jpg
Napier_Museum,Thiruvananthapuram,Museum,8.508876,76.955228,https://en.wikipedia.org/wiki/Napier_Museum,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Napier_Museum_TVM.jpg/375px-Napier_Museum_TVM.jpg
Corbett_National_Park,Uttarakhand,National-Park,29.528997,78.774873,https://en.wikipedia.org/wiki/Jim_Corbett_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Bengal-Tiger_Corbett_Uttarakhand_Dec-2013.jpg/426px-Bengal-Tiger_Corbett_Uttarakhand_Dec-2013.jpg
Ranthambore_National_Park,Rajasthan,National-Park,26.015734,76.497724,https://en.wikipedia.org/wiki/Ranthambore_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Aravali_range_inside_Ranthambhore%2C_Rajasthan.jpg/330px-Aravali_range_inside_Ranthambhore%2C_Rajasthan.jpg
Kanha_National_Park,Madhya Pradesh,National-Park,22.334961,80.600194,https://en.wikipedia.org/wiki/Kanha_Tiger_Reserve,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tiger_Kanha_National_Park.jpg/426px-Tiger_Kanha_National_Park.jpg
Pench_National_Park,Madhya Pradesh,National-Park,21.766339,79.351002,https://en.wikipedia.org/wiki/Pench_National_Park,https://www.tourmyindia.com/images/pench-national-park2.jpg
Bandhavgarh_National_Park,Madhya Pradesh,National-Park,23.722445,81.024167,https://en.wikipedia.org/wiki/Bandhavgarh_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Brown_Fish_Owl%3B_Ketupa_zeylonensis.jpg/330px-Brown_Fish_Owl%3B_Ketupa_zeylonensis.jpg
Kaziranga_National_Park,Assam,National-Park,26.525018,92.993523,https://en.wikipedia.org/wiki/Kaziranga_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Indian_Rhinoceros.jpg/426px-Indian_Rhinoceros.jpg
Sundarbans_National_Park,West Bengal,National-Park,21.881581,88.886114,https://en.wikipedia.org/wiki/Sundarbans_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Sundarban_mangrove.jpg/330px-Sundarban_mangrove.jpg
Valley_of_Flowers_National_Park, Uttarakhand,National-Park,30.727858,79.605173,https://en.wikipedia.org/wiki/Valley_of_Flowers_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Valley_of_flowers.JPG/360px-Valley_of_flowers.JPG
Bandipur_National_Park,Karnataka,National-Park,11.753955,76.444724,https://en.wikipedia.org/wiki/Bandipur_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/A_Jackal_alongside_the_Kabini_river.jpg/330px-A_Jackal_alongside_the_Kabini_river.jpg
Nagahole_National_Park,Karnataka,National-Park,12.031359,76.120639,https://en.wikipedia.org/wiki/Nagarhole_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Gray_Langur_-_Young.jpg/330px-Gray_Langur_-_Young.jpg
